item_id,faded_copy_name,roll_name
14270,陈旧的乐谱：再来一杯！,再来一杯！
14271,陈旧的乐谱：华彩的山麓,华彩的山麓
14272,陈旧的乐谱：云中匿影,云中匿影
14273,陈旧的乐谱：唯一的行路,唯一的行路
14274,陈旧的乐谱：走向世界,走向世界
14275,陈旧的乐谱：以血洗血,以血洗血
14276,陈旧的乐谱：饿狼群集,饿狼群集
14277,陈旧的乐谱：激潮,激潮
14278,陈旧的乐谱：漆黑的誓言,漆黑的誓言
14279,陈旧的乐谱：黑暗的拥抱,黑暗的拥抱
14280,陈旧的乐谱：风暴中的灯火,风暴中的灯火
14281,陈旧的乐谱：异想天开,异想天开
14282,陈旧的乐谱：上下易位,上下易位
14283,陈旧的乐谱：魔大战的伤痕,魔大战的伤痕
14284,陈旧的乐谱：诸神已死,诸神已死
14285,陈旧的乐谱：原始的审判,原始的审判
14286,陈旧的乐谱：堕天使,堕天使
14287,陈旧的乐谱：重压灭顶,重压灭顶
14288,陈旧的乐谱：英杰,英杰
14289,陈旧的乐谱：魔神,魔神
14290,陈旧的乐谱：傲慢,傲慢
14291,陈旧的乐谱：一落千丈,一落千丈
14292,陈旧的乐谱：绚烂,绚烂
14293,陈旧的乐谱：多加与乌内之心,多加与乌内之心
14294,陈旧的乐谱：暗淡,暗淡
14295,陈旧的乐谱：最后的死斗,最后的死斗
14296,陈旧的乐谱：雷鸣,雷鸣
14297,陈旧的乐谱：白银凶鸟展翅翱翔,白银凶鸟展翅翱翔
14298,陈旧的乐谱：死灰复燃,死灰复燃
14299,陈旧的乐谱：Answers -生死答问-,Answers -生死答问-
15833,陈旧的乐谱：迎风,迎风
15834,陈旧的乐谱：人王,人王
15835,陈旧的乐谱：缺失的书页,缺失的书页
15836,陈旧的乐谱：水手遇难,水手遇难
15837,陈旧的乐谱：混沌的漩涡,混沌的漩涡
15838,陈旧的乐谱：贤王莫古尔·莫古十二世,贤王莫古尔·莫古十二世
15839,陈旧的乐谱：绝命怒嚎,绝命怒嚎
15840,陈旧的乐谱：大桥上的死斗,大桥上的死斗
15841,陈旧的乐谱：苍翼,苍翼
16833,陈旧的乐谱：雪上的足迹,雪上的足迹
16834,陈旧的乐谱：忘却的彼岸,忘却的彼岸
16835,陈旧的乐谱：电闪雷鸣,电闪雷鸣
16836,陈旧的乐谱：平衡,平衡
17653,陈旧的乐谱：斩,斩
17654,陈旧的乐谱：无尽苍空,无尽苍空
17655,陈旧的乐谱：灾厄狂起,灾厄狂起
17656,陈旧的乐谱：武神降临,武神降临
17657,陈旧的乐谱：不屈之刃,不屈之刃
17658,陈旧的乐谱：无限,无限
17866,陈旧的乐谱：启示,启示
17867,陈旧的乐谱：阴谋美计,阴谋美计
21300,陈旧的乐谱：神龙见尾,神龙见尾
22494,陈旧的乐谱：白帝竹林,白帝竹林
23338,陈旧的乐谱：月下芳华,月下芳华
23339,陈旧的乐谱：海中,海中
24321,陈旧的乐谱：千年旭光,千年旭光
25088,陈旧的乐谱：云蒸龙变,云蒸龙变
27923,陈旧的乐谱：天使醒来,天使醒来
27924,陈旧的乐谱：精神错乱,精神错乱
28906,陈旧的乐谱：不灭孤念,不灭孤念
30270,陈旧的乐谱：究极神兵（蛮荒神影）,究极神兵（蛮荒神影）
31689,陈旧的乐谱：末路尽头,末路尽头
33137,陈旧的乐谱：漆黑王狼重现世间,漆黑王狼重现世间
33820,陈旧的乐谱：孤儿们的战斗,孤儿们的战斗
36380,陈旧的乐谱：呼唤终结之神,呼唤终结之神
36381,陈旧的乐谱：你的答案,你的答案
37443,陈旧的乐谱：终结之战,终结之战
38660,陈旧的乐谱：高贝扎四天王之战,高贝扎四天王之战
39584,陈旧的乐谱：魂火铸就,魂火铸就
