item_id,roll_name
14223,雪风
14224,水车低鸣
14225,伟大的母港
14226,希望之都
14227,监牢
14228,沙之家
14229,曼德维尔金碟游乐场
14230,陆行鸟竞赛
14231,再来一杯！
14232,华彩的山麓
14233,云中匿影
14234,水晶序曲
14235,非著名调查员
14236,唯一的行路
14237,走向世界
14238,啪啪呀
14239,挥汗如雨
14240,坚毅
14241,以血洗血
14242,饿狼群集
14243,激潮
14244,漆黑的誓言
14245,黑暗的拥抱
14246,风暴中的灯火
14247,异想天开
14248,上下易位
14249,魔大战的伤痕
14250,天降之力
14251,究极神兵
14252,诸神已死
14253,原始的审判
14254,堕天使
14255,重压灭顶
14256,英杰
14257,魔神
14258,傲慢
14259,一落千丈
14260,绚烂
14261,多加与乌内之心
14262,暗淡
14263,最后的死斗
14264,悠久之风
14265,雷鸣
14266,白银凶鸟展翅翱翔
14267,死灰复燃
14268,斗争
14269,Answers -生死答问-
15801,女王的美梦
15802,水手不眠
15803,萤火之舞
15804,位高责重
15805,玛托雅的洞穴
15806,歇宿
15807,迎风
15808,人王
15809,缺失的书页
15810,灼热之地
15811,乘上西风
15812,沉静
15813,红莲节
15814,Heavensward　-飞向苍穹-
15815,密道
15816,凶兆
15817,万世箴言
15818,坚不可摧
15819,谢罪之诗
15820,越过地平线
15821,水手遇难
15822,混沌的漩涡
15823,贤王莫古尔·莫古十二世
15824,绝命怒嚎
15825,大桥上的死斗
15826,死斗
15827,苍翼
15828,艾欧泽亚的守护者
15829,萨纳兰的黄昏
15830,拉诺西亚的疾风
15831,大地低语
15832,Dragonsong　-千年龙诗-
16797,守护天节
16798,彻夜狂欢
16799,星芒节
16800,降神节
16801,第七星历
16802,熏灰
16803,豁达的家
16804,贵族沉眠
16805,夜雾缭绕
16806,安乐小屋
16807,倒影
16808,天上世界
16809,库尔札斯的寂静
16810,心灵的归处
16811,家园
16812,灾厄蔓延
16813,战斗1.X
16814,漆黑的艾达
16815,幽幻夜雾
16816,渎神魔王
16817,死亡报告
16818,永眠
16819,银泪
16820,地壳
16821,雪上的足迹
16822,忘却的彼岸
16823,电闪雷鸣
16824,平衡
16825,父子之罪
16826,轨迹
16827,金属
16828,金属 - 正义无情
16829,指数崩坏
16830,起义
16831,无边无际（身心二元）
16832,不屈之刃（身心二元）
17621,纯爱之吻
17622,小小捣蛋鬼
17623,离群一族
17624,边境
17625,一瞬的光彩
17626,海风飘香
17627,厚于利刃
17628,宝石
17629,向胜利冲锋
17630,帝国的意志
17631,钢铁理念
17632,祈祷之歌
17633,永远的离别
17634,超越极限
17635,圣座
17636,尘沙
17637,另一块砖
17638,斩
17639,无尽苍空
17640,灾厄狂起
17641,武神降临
17642,不屈之刃
17643,无限
17644,战乱
17645,螺旋
17646,无限循环
17647,以太圈
17648,虚无之棺
17649,雨中泪
17650,千面
17651,希望之地
17652,泡影
17846,超级虹彩战队Z
17847,生死答问 - 回响
17848,Stormblood　-血雨狂潮-
17849,涛声
17850,鸟鸣
17851,雨声
17852,蝉鸣
17853,有毒植物
17854,恐书症
17855,启示
17856,阴谋美计
17857,天王
17858,静寂的星空
17859,铁壁之外
17860,火焰之海
17861,沉没于天际
17862,隐忍之刃
17863,汇集的海风
17864,喧嚣的树丛
17865,交错的命运
21276,虫鸣
21277,篝火
21278,晨间厨房
21279,猛禽猎食
21280,神拳之痕
21281,冲击
21282,红色黎明
